Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.48353E-3,86.860544365,0.892076789,0.004241373,0.898666667,0.928
2.48694E-3,87.115755929,0.892406038,0.004144978,0.901333333,0.936
2.49396E-3,87.36515149,0.893080958,0.004048583,0.904,0.936
2.58852E-3,87.62400307,0.901770721,0.003952188,0.906666667,0.944
2.60367E-3,87.884369904,0.903095984,0.003855793,0.909333333,0.944
2.61456E-3,88.145825477,0.904037157,0.003759398,0.909333333,0.944
2.63994E-3,88.409819407,0.906196121,0.003663004,0.912,0.944
2.65462E-3,88.675281063,0.907422242,0.003566609,0.914666667,0.944
2.66442E-3,88.941723035,0.908232247,0.003470214,0.917333333,0.944
2.66507E-3,89.208230367,0.908285999,0.003373819,0.92,0.944
2.67392E-3,89.475622655,0.909010698,0.003277424,0.922666667,0.944
2.67565E-3,89.743187493,0.909151332,0.003181029,0.925333333,0.944
2.68623E-3,90.011810547,0.910009073,0.003084635,0.928,0.944
2.70774E-3,90.282584419,0.91172755,0.00298824,0.930666667,0.944
2.70871E-3,90.553455661,0.911804567,0.002891845,0.933333333,0.944
2.71284E-3,90.824739677,0.912130311,0.00279545,0.936,0.944
